web-scraper-order,web-scraper-start-url,link to product,link to product-href,name,price,link to reviews,link to reviews-href,image-src,ratings
"1637689189-3327","https://www.jumia.ma/maquillage/?page=1#catalog-listing","Boutique OfficielleMaybelline New York Maybelline - Fond de teint fluide - Fit Me Matte & Poreless - Peaux normales à grasse - 130 BUFF BEIGE - 30 ml4.3 out of 5(46)Options disponibles:58.30 Dhs80.51 Dhs28%","https://www.jumia.ma/maybelline-new-york-maybelline-fond-de-teint-fluide-fit-me-matte-poreless-peaux-normales-a-grasse-130-buff-beige-30-ml-32208941.html","Maybelline New York Maybelline - Fond de teint fluide - Fit Me Matte & Poreless - Peaux normales à grasse - 130 BUFF BEIGE - 30 ml","58.30 Dhs","(46 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/MA310HB08X2TBNAFAMZ/","null","4 out of 5"
"1637682476-1842","https://www.jumia.ma/maquillage/?page=42#catalog-listing","Note Cosmetics Rich Color Lipstick - 16 Pink Topaz5 out of 5(3)50.00 Dhs","https://www.jumia.ma/note-cosmetics-rich-color-lipstick-16-pink-topaz-34433131.html","Note Cosmetics Rich Color Lipstick - 16 Pink Topaz","50.00 Dhs","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/NO846ST07THTVNAFAMZ/","null","5 out of 5"
"1637684251-1972","https://www.jumia.ma/maquillage/?page=30#catalog-listing","Faby Not To Miss A Trick! - Vernis à ongle - 15 ml LCI0143 out of 5(1)100.00 Dhs125.00 Dhs20%","https://www.jumia.ma/faby-not-to-miss-a-trick-vernis-a-ongle-15-ml-lci014-38008459.html","Faby Not To Miss A Trick! - Vernis à ongle - 15 ml LCI014","100.00 Dhs","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/FA267ST1KUGWJNAFAMZ/","null","3 out of 5"
"1637688445-2821","https://www.jumia.ma/maquillage/?page=4#catalog-listing","Boutique OfficielleRevolution Cheek Kit Don't Hold Back4.6 out of 5(9)73.00 Dhs","https://www.jumia.ma/revolution-cheek-kit-dont-hold-back-39608246.html","Revolution Cheek Kit Don't Hold Back","73.00 Dhs","(9 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/RE466ST129RATNAFAMZ/","null","5 out of 5"
"1637688850-3058","https://www.jumia.ma/maquillage/?page=2#catalog-listing","Boutique OfficielleL'Oréal Paris Masc.Paradise Valentines Nu 01 BLAC4.4 out of 5(27)114.00 Dhs150.00 Dhs24%","https://www.jumia.ma/loreal-paris-masc.paradise-valentines-nu-01-blac-33541729.html","L'Oréal Paris Masc.Paradise Valentines Nu 01 BLAC","114.00 Dhs","(27 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/BR590HB1J76ZPNAFAMZ/","null","5 out of 5"
"1637686486-2212","https://www.jumia.ma/maquillage/?page=15#catalog-listing","Boutique OfficielleRevolution Conceal & Define Concealer C53.8 out of 5(19)75.00 Dhs","https://www.jumia.ma/revolution-conceal-define-concealer-c5-21364971.html","Revolution Conceal & Define Concealer C5","75.00 Dhs","(19 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/MA367HB0AONGONAFAMZ/","null","5 out of 5"
"1637685147-2037","https://www.jumia.ma/maquillage/?page=23#catalog-listing","FAUX CILS MAGNETIQUE NATUREL2 out of 5(2)49.50 Dhs50.00 Dhs1%","https://www.jumia.ma/generic-faux-cils-magnetique-naturel-38405228.html","FAUX CILS MAGNETIQUE NATUREL","49.50 Dhs","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GE232ST1CYWVNNAFAMZ/","null","1 out of 5"
"1637688916-3108","https://www.jumia.ma/maquillage/?page=2#catalog-listing","Boutique OfficielleL'Oréal Paris Fond de teint Haute couvrance matifiant - Infaillible 24h Matte Cover - 155 NATURAL - 35 ml4 out of 5(21)Options disponibles:93.33 Dhs120.00 Dhs22%","https://www.jumia.ma/loreal-paris-fond-de-teint-haute-couvrance-matifiant-infaillible-24h-matte-cover-155-natural-35-ml-33603785.html","L'Oréal Paris Fond de teint Haute couvrance matifiant - Infaillible 24h Matte Cover - 155 NATURAL - 35 ml","93.33 Dhs","(21 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/BR590HB0YYSUHNAFAMZ/","null","5 out of 5"
"1637682830-1869","https://www.jumia.ma/maquillage/?page=40#catalog-listing","Note Cosmetics luminous moisturizing fond de teint sand 043.5 out of 5(2)135.00 Dhs","https://www.jumia.ma/note-cosmetics-luminous-moisturizing-fond-de-teint-sand-04-34414442.html","Note Cosmetics luminous moisturizing fond de teint sand 04","135.00 Dhs","(2 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/NO846ST0EJV4ZNAFAMZ/","null","4 out of 5"
"1637684835-2024","https://www.jumia.ma/maquillage/?page=25#catalog-listing","Kiss Beauty poudre compacte fixe le maquillage et traitement de la peau.3.6 out of 5(13)27.00 Dhs","https://www.jumia.ma/poudre-compacte-fixe-le-maquillage-et-traitement-de-la-peau.-kiss-beauty-mpg914352.html","Kiss Beauty poudre compacte fixe le maquillage et traitement de la peau.","27.00 Dhs","(13 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/KI458ST15BFUMNAFAMZ/","null","3 out of 5"
