web-scraper-order,web-scraper-start-url,link to product,link to product-href,name,price,image-src,link to reviews,link to reviews-href,rating
"1637694721-3950","https://www.jumia.ma/parfums-femme/?page=44#catalog-listing","Jean Paul Gaultier SCANDAL EAU DE PARFUM5 out of 5(1)1,099.00 Dhs","https://www.jumia.ma/scandal-eau-de-parfum-jean-paul-gaultier-mpg877832.html","Jean Paul Gaultier SCANDAL EAU DE PARFUM","1,099.00 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/JE875HB07MFFTNAFAMZ/","(1)"
"1637695383-3987","https://www.jumia.ma/parfums-femme/?page=39#catalog-listing","Oriflame Coffret Cadeau Miss Giordani Intense:Parfum+ crème de douche+ boîte cadeau4.8 out of 5(10)299.00 Dhs499.00 Dhs40%offres à partir de","https://www.jumia.ma/coffret-cadeau-miss-giordani-intenseparfum-creme-de-douche-boite-cadeau-oriflame-mpg927879.html","Oriflame Coffret Cadeau Miss Giordani Intense:Parfum+ crème de douche+ boîte cadeau","299.00 Dhs","null","(10 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OR143ST1MQ51ENAFAMZ/","(8)"
"1637696951-4097","https://www.jumia.ma/parfums-femme/?page=27#catalog-listing","Splendid Parfums femme - 30 ML3.8 out of 5(5)46.49 Dhsoffres à partir de","https://www.jumia.ma/parfums-femme-30-ml-splendid-mpg56686.html","Splendid Parfums femme - 30 ML","46.49 Dhs","null","(5 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/SP075HB090RWGNAFAMZ/","(2)"
"1637696724-4079","https://www.jumia.ma/parfums-femme/?page=28#catalog-listing","Johan B Be Seduced Girl by Johan.b, 3.4 oz Eau De Parfum Spray for Women4 out of 5(1)285.00 Dhs550.00 Dhs48%","https://www.jumia.ma/be-seduced-girl-by-johan.b-3.4-oz-eau-de-parfum-spray-for-women-johan-b-mpg1102253.html","Johan B Be Seduced Girl by Johan.b, 3.4 oz Eau De Parfum Spray for Women","285.00 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/JO796PF0GNUM8NAFAMZ/","(0)"
"1637694396-3926","https://www.jumia.ma/parfums-femme/?page=46#catalog-listing","Montale Paris Aoud Samarkand de Montale Paris - Eau de Parfum unisexe 100ml1 out of 5(1)750.00 Dhs1,500.00 Dhs50%","https://www.jumia.ma/aoud-samarkand-de-montale-paris-eau-de-parfum-unisexe-100ml-montale-paris-mpg40683.html","Montale Paris Aoud Samarkand de Montale Paris - Eau de Parfum unisexe 100ml","750.00 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/MO624HB0SPWCTNAFAMZ/","(0)"
"1637696808-4084","https://www.jumia.ma/parfums-femme/?page=28#catalog-listing","Giorgio Armani SI Armani - Eau de Parfum - 50ml4 out of 5(1)799.00 Dhs","https://www.jumia.ma/si-armani-eau-de-parfum-50ml-giorgio-armani-mpg90845.html","Giorgio Armani SI Armani - Eau de Parfum - 50ml","799.00 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/GI383HB0QWS0QNAFAMZ/","(0)"
"1637697307-4121","https://www.jumia.ma/parfums-femme/?page=24#catalog-listing","Oriflame Giordani gold essenza eau de toilette 50ml1 out of 5(1)245.00 Dhs510.00 Dhs52%","https://www.jumia.ma/giordani-gold-essenza-eau-de-toilette-50ml-oriflame-mpg930764.html","Oriflame Giordani gold essenza eau de toilette 50ml","245.00 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OR143PF0C893BNAFAMZ/","(0)"
"1637695135-3973","https://www.jumia.ma/parfums-femme/?page=41#catalog-listing","Nanine Flower Paris3 out of 5(1)197.01 Dhs199.00 Dhs1%","https://www.jumia.ma/nanine-flower-paris-nanine-mpg43993.html","Nanine Flower Paris","197.01 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/NA741HB08E1JUNAFAMZ/","(0)"
"1637694523-3935","https://www.jumia.ma/parfums-femme/?page=45#catalog-listing","Rasasi Parfum Odah Al Abiyad - 50 ml4 out of 5(1)319.20 Dhs399.00 Dhs20%","https://www.jumia.ma/parfum-odah-al-abiyad-50-ml-rasasi-mpg998716.html","Rasasi Parfum Odah Al Abiyad - 50 ml","319.20 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/RA032HB1E8DXUNAFAMZ/","(0)"
"1637695435-3992","https://www.jumia.ma/parfums-femme/?page=38#catalog-listing","Lattafa 24 carats  or pur - Royal Oud1 out of 5(1)139.00 Dhsoffres à partir de","https://www.jumia.ma/24-carats-or-pur-royal-oud-lattafa-mpg1038452.html","Lattafa 24 carats  or pur - Royal Oud","139.00 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/LA942HB0C43JQNAFAMZ/","(0)"
"1637697008-4098","https://www.jumia.ma/parfums-femme/?page=26#catalog-listing","Avon Eau de parfum à vaporiser TTA Today grand format -100ml3 out of 5(1)155.99 Dhsoffres à partir de","https://www.jumia.ma/eau-de-parfum-a-vaporiser-tta-today-grand-format-100ml-avon-mpg901930.html","Avon Eau de parfum à vaporiser TTA Today grand format -100ml","155.99 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/AV168PF1CA06TNAFAMZ/","(0)"
"1637693895-3889","https://www.jumia.ma/parfums-femme/?page=50#catalog-listing","Oriflame ECLAT Femme Eau de toilette, 50 ml3.7 out of 5(3)149.99 Dhs699.99 Dhs79%offres à partir de","https://www.jumia.ma/eclat-femme-eau-de-toilette-50-ml-oriflame-mpg837108.html","Oriflame ECLAT Femme Eau de toilette, 50 ml","149.99 Dhs","null","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/OR143HB1BN5EKNAFAMZ/","(2)"
"1637697013-4099","https://www.jumia.ma/parfums-femme/?page=26#catalog-listing","Lattafa Eau de Parfum Rouat Al Oud 100ml  Parfum Oriental – Mixte5 out of 5(1)135.00 Dhsoffres à partir de","https://www.jumia.ma/eau-de-parfum-rouat-al-oud-100ml-parfum-oriental-mixte-lattafa-mpg933030.html","Lattafa Eau de Parfum Rouat Al Oud 100ml  Parfum Oriental – Mixte","135.00 Dhs","null","(1 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/LA942HB0DONTANAFAMZ/","(1)"
"1637696251-4041","https://www.jumia.ma/parfums-femme/?page=32#catalog-listing","Lattafa Parfum oud 24 heures  - eau de parfum - 50 ml4 out of 5(3)44.00 Dhs69.00 Dhs36%offres à partir de","https://www.jumia.ma/parfum-oud-24-heures-eau-de-parfum-50-ml-lattafa-mpg838194.html","Lattafa Parfum oud 24 heures  - eau de parfum - 50 ml","44.00 Dhs","null","(3 avis)","https://www.jumia.ma/catalog/productratingsreviews/sku/LA942HB01A7SQNAFAMZ/","(1)"
